Date mutation,Valeur Fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Type local,Surface reelle bati,Nombre pieces principales
07/09/2018 00:00,194000,39,RUE,8570,DE STRASBOURG,94300,VINCENNES,94,80,D,20,Appartement,22,2
07/09/2018 00:00,158500,79,RUE,60,ANDRE TESSIER,94120,FONTENAY-SOUS-BOIS,94,33,AB,15,Appartement,34,2
27/09/2018 00:00,200000,17,RUE,8125,DE LA RENARDIERE,94300,VINCENNES,94,80,H,157,Appartement,32,2
28/09/2018 00:00,259500,104,RUE,7140,PASTEUR,94120,FONTENAY-SOUS-BOIS,94,33,AZ,55,Appartement,48,2
21/09/2018 00:00,242000,69,RUE,9150,DES TROIS TERRITOIRES,94120,FONTENAY-SOUS-BOIS,94,33,U,143,Appartement,33,2
03/10/2018 00:00,157000,9,RUE,8163,ROBERT SCHUMAN,94170,LE PERREUX-SUR-MARNE,94,58,E,162,Appartement,51,2
02/10/2018 00:00,266000,29,RUE,25,AMIRAL COURBET,94130,NOGENT-SUR-MARNE,94,52,N,106,Appartement,40,2
09/10/2018 00:00,308210,12,RUE,7125,PAUL BERT,94160,SAINT-MANDE,94,67,F,7,Appartement,37,2
27/09/2018 00:00,111000,18,RUE,4280,GUY MOQUET,94500,CHAMPIGNY-SUR-MARNE,94,17,CG,124,Appartement,43,2
19/10/2018 00:00,200250,23,RUE,3135,EMILE BOUTRAIS,94120,FONTENAY-SOUS-BOIS,94,33,V,75,Appartement,35,2
05/10/2018 00:00,275000,6,RUE,1465,DE COLMAR,94300,VINCENNES,94,80,U,148,Appartement,38,2
22/10/2018 00:00,120000,47,RUE,4738,JEAN SAVU,94500,CHAMPIGNY-SUR-MARNE,94,17,J,38,Appartement,46,2
31/10/2018 00:00,350000,58,RUE,3565,DE FONTENAY,94300,VINCENNES,94,80,F,39,Appartement,42,2
24/10/2018 00:00,307000,36,RUE,1535,DU CLOS D ORLEANS,94120,FONTENAY-SOUS-BOIS,94,33,BX,40,Appartement,36,2
11/10/2018 00:00,298000,44,RUE,8560,DE LA SOLIDARITE,94300,VINCENNES,94,80,D,134,Appartement,43,2
31/10/2018 00:00,282500,32,RUE,35,ANDRE PONTIER,94130,NOGENT-SUR-MARNE,94,52,L,81,Appartement,48,2
15/11/2018 00:00,254000,116,RUE,2510,DALAYRAC,94120,FONTENAY-SOUS-BOIS,94,33,X,307,Appartement,48,2
26/10/2018 00:00,299500,19,RUE,35,ALLARD,94160,SAINT-MANDE,94,67,G,169,Appartement,39,2
24/10/2018 00:00,338000,21,RUE,1480,CREBILLON,94300,VINCENNES,94,80,D,65,Appartement,44,2
24/10/2018 00:00,200000,10,RUE,4725,JEAN JACQUES ROUSSEAU,94120,FONTENAY-SOUS-BOIS,94,33,AZ,35,Appartement,36,2
31/10/2018 00:00,135000,4,RUE,4795,JULIETTE DE WILS,94500,CHAMPIGNY-SUR-MARNE,94,17,Z,9,Appartement,42,2
13/11/2018 00:00,230000,44,RUE,1420,CELINE ROBERT,94300,VINCENNES,94,80,R,13,Appartement,30,2
19/11/2018 00:00,331800,8,RUE,7165,POIRIER,94160,SAINT-MANDE,94,67,C,78,Appartement,43,2
16/11/2018 00:00,196500,16,RUE,8570,DE LA STATION,94170,LE PERREUX-SUR-MARNE,94,58,AG,19,Appartement,46,2
29/11/2018 00:00,103000,2,RUE,6190,DE LA MUETTE,94130,NOGENT-SUR-MARNE,94,52,AD,143,Appartement,44,2
06/12/2018 00:00,237000,5,RUE,4765,JULES FERRY,94120,FONTENAY-SOUS-BOIS,94,33,AY,44,Appartement,41,2
29/11/2018 00:00,150000,13,RUE,4430,DES HEROS NOGENTAIS,94130,NOGENT-SUR-MARNE,94,52,L,165,Appartement,32,2
06/12/2018 00:00,250000,68,RUE,1410,CARNOT,94130,NOGENT-SUR-MARNE,94,52,AC,40,Appartement,30,2
17/12/2018 00:00,393000,62,RUE,3565,DE FONTENAY,94300,VINCENNES,94,80,F,37,Appartement,48,2
